PROVIDER_ID,HAI_1_DEN_VOL,HAI_2_DEN_VOL,HAI_3_DEN_VOL,HAI_4_DEN_VOL,HAI_5_DEN_VOL,HAI_6_DEN_VOL,HAI_1_DEN_PRED,HAI_2_DEN_PRED,HAI_3_DEN_PRED,HAI_4_DEN_PRED,HAI_5_DEN_PRED,HAI_6_DEN_PRED,HAI_1,HAI_2,HAI_3,HAI_4,HAI_5,HAI_6,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,EDAC_30_HF,READM_30_COPD,EDAC_30_AMI,EDAC_30_PN,MORT_30_STK,MORT_30_PN,MORT_30_HF,MORT_30_COPD,MORT_30_AMI,COMP_HIP_KNEE,READM_30_HOSP_WIDE_DEN,READM_30_HIP_KNEE_DEN,EDAC_30_HF_DEN,READM_30_COPD_DEN,EDAC_30_AMI_DEN,EDAC_30_PN_DEN,MORT_30_STK_DEN,MORT_30_PN_DEN,MORT_30_HF_DEN,MORT_30_COPD_DEN,MORT_30_AMI_DEN,COMP_HIP_KNEE_DEN,OP_2,OP_2_DEN,OP_3B,OP_3B_DEN,OP_8,OP_8_DEN,OP_10,OP_10_DEN,OP_13,OP_13_DEN,OP_18B,OP_18B_DEN,OP_22,OP_22_DEN,OP_23,OP_23_DEN,OP_29,OP_29_DEN,PSI_4_SURG_COMP,PSI_4_SURG_COMP_DEN,PSI_90_SAFETY,IMM_3_DEN,IMM_3,HCP_COVID_19_DEN,HCP_COVID_19,PC_01,PC_01_DEN,SEP_1,SEP_1_DEN,H_RESP_RATE_P,H_COMP_1_STAR_RATING,H_COMP_2_STAR_RATING,H_COMP_3_STAR_RATING,H_COMP_5_STAR_RATING,H_COMP_6_STAR_RATING,H_COMP_7_STAR_RATING,H_GLOB_STAR_RATING,H_INDI_STAR_RATING,H_NUMB_COMP,PSI_90_SAFETY_DEN,MORT_30_CABG,MORT_30_CABG_DEN,READM_30_CABG,READM_30_CABG_DEN,OP_32,OP_32_DEN,OP_35_ADM,OP_35_ADM_DEN,OP_35_ED,OP_35_ED_DEN,OP_36,OP_36_DEN,Facility_ID,Facility_Name,State,ZIP_Code,County_Parish
010001,9538.0,16332.0,240.0,,103195.0,103195.0,10.082,23.712,6.618,,11.232,65.234,0.496,0.169,1.209,,0.445,0.491,0.141,0.044,10.6,0.177,-13.8,14.3,0.1369999999999999,0.1889999999999999,0.105,0.079,0.108,0.03,2924.0,34.0,679.0,130.0,296.0,490.0,414.0,489.0,610.0,122.0,291.0,32.0,,,,,0.3329999999999999,,0.054,,0.021,,217.0,345.0,0.05,52960.0,,,0.47,17.0,194.78,125.0,0.98,4115.0,0.96,2712.0,0.0,0.02,46.0,0.68,131.0,17.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,643.0,2371.4452,0.038,157.0,0.102,151.0,12.9,170.0,11.9,202.0,4.9,202.0,1.1,668.0,010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,36301,HOUSTON
010005,3410.0,7200.0,102.0,,35424.0,33872.0,2.074,3.262,2.867,,1.631,9.503,0.964,1.226,0.0,,2.452,0.631,0.135,0.039,9.8,0.161,,-8.4,0.139,0.231,0.127,0.092,0.145,0.027,1056.0,144.0,176.0,143.0,,305.0,97.0,301.0,162.0,133.0,28.0,138.0,,,,,0.4589999999999999,,0.134,,0.0279999999999999,,144.0,1154.0,0.03,56820.0,0.69,13.0,0.96,180.0,191.14,43.0,1.01,2407.0,0.72,2431.0,0.026,0.01,193.0,0.76,288.0,17.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.5,714.0,834.1743,,,,,14.2,739.0,7.9,107.0,5.5,107.0,1.9,406.0,010005,MARSHALL MEDICAL CENTERS,AL,35957,MARSHALL
010006,4826.0,8700.0,73.0,116.0,68020.0,64728.0,5.279,11.164,1.935,1.086,5.397,37.771,0.0,0.0,0.0,0.0,0.371,0.026,0.147,0.044,-4.9,0.177,13.4,4.5,0.142,0.198,0.122,0.102,0.166,0.04,2560.0,90.0,508.0,154.0,315.0,621.0,271.0,616.0,455.0,141.0,292.0,84.0,,,,,,,0.108,,0.0289999999999999,,177.0,349.0,0.01,42286.0,,,0.85,82.0,201.13,102.0,1.16,2560.0,0.66,2095.0,0.0,0.0,22.0,0.56,162.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,1620.0,1653.7214,0.052,102.0,0.115,91.0,12.1,1355.0,,,,,1.4,484.0,010006,NORTH ALABAMA MEDICAL CENTER,AL,35630,LAUDERDALE
010007,,,,,,5267.0,,,,,,1.994,,,,,,1.003,0.151,0.044,20.9,0.19,,21.5,,0.29,0.141,0.135,,0.034,234.0,33.0,35.0,41.0,,85.0,,101.0,33.0,42.0,,33.0,,,,,,,0.073,,,,129.0,594.0,0.04,11202.0,,,0.23,111.0,,,0.93,345.0,0.26,245.0,0.0,,,0.24,21.0,24.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,175.0,195.0929,,,,,13.4,109.0,,,,,1.2,59.0,010007,MIZELL MEMORIAL HOSPITAL,AL,36467,COVINGTON
010008,,,,,,,,,,,,,,,,,,,0.153,,,,,,,0.192,,,,,81.0,,,,,,,26.0,,,,,,,,,,,0.0139999999999999,,,,121.0,329.0,0.0,6239.0,,,0.67,24.0,,,,126.0,0.39,122.0,0.019,,,,,,,,,,,,,,,,,,,,12.9,42.0,,,,,,,010008,CRENSHAW COMMUNITY HOSPITAL,AL,36049,CRENSHAW
010011,9905.0,10399.0,117.0,,80106.0,80106.0,10.751,13.381,3.261,,8.719,42.14,0.744,0.299,0.0,,0.573,0.498,0.159,0.043,30.0,0.187,-12.4,6.3,0.129,0.225,0.14,0.106,0.128,0.038,1636.0,32.0,294.0,58.0,148.0,344.0,86.0,336.0,258.0,55.0,136.0,28.0,,,,,,,0.078,,,,190.0,333.0,0.05,41057.0,0.43,23.0,1.0,24.0,208.8,67.0,0.95,,,1402.0,0.008,,,0.6,205.0,26.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.5,1334.0,1269.0586999999996,0.021,70.0,0.119,70.0,12.8,68.0,,,,,0.9,249.0,010011,ST. VINCENT'S EAST,AL,35235,JEFFERSON
010012,,2007.0,,,,7600.0,,1.379,,,,3.51,,0.0,,,,0.57,0.153,0.0409999999999999,28.8,0.186,7.8,4.9,,0.2319999999999999,0.147,0.087,0.129,0.039,417.0,63.0,84.0,28.0,57.0,160.0,,153.0,73.0,29.0,47.0,59.0,,,,,,,0.091,,0.042,,168.0,383.0,0.04,19030.0,,,1.0,97.0,,,0.94,683.0,0.59,638.0,0.0,0.0,46.0,0.94,149.0,16.0,5.0,5.0,3.0,4.0,4.0,2.0,2.5,3.0,302.0,271.8932,,,,,13.6,514.0,,,,,0.9,118.0,010012,DEKALB REGIONAL MEDICAL CENTER,AL,35968,DE KALB
010016,5208.0,8201.0,109.0,,36682.0,36682.0,3.736,5.989,2.992,,2.006,14.282,0.803,0.167,0.668,,1.496,0.56,0.142,0.051,8.0,0.181,28.1,34.9,0.143,0.183,0.107,0.089,0.133,0.04,1131.0,71.0,229.0,48.0,77.0,214.0,113.0,200.0,194.0,39.0,81.0,62.0,,,,,,,0.119,,,,196.0,413.0,0.03,32471.0,,,,,148.39,70.0,1.36,1680.0,0.8,1257.0,0.03,0.0,14.0,0.8,141.0,21.0,2.0,4.0,2.0,3.0,2.0,2.0,2.5,2.0,977.0,938.2987,0.023,38.0,0.115,37.0,12.6,86.0,,,,,1.0,213.0,010016,SHELBY BAPTIST MEDICAL CENTER,AL,35007,SHELBY
010018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,372.0,0.0,8123.0,,,,,,,0.99,610.0,0.96,956.0,0.002,,,,,,,,,,,,,,,24.6837,,,,,,,,,,,0.9,261.0,010018,CALLAHAN EYE HOSPITAL,AL,35233,JEFFERSON
010019,2455.0,5829.0,44.0,,26281.0,24056.0,1.95,4.715,1.148,,1.392,10.741,3.077,0.424,0.0,,0.0,1.024,0.144,0.0409999999999999,10.5,0.1889999999999999,,15.6,0.151,0.244,0.172,0.094,0.122,0.047,1080.0,73.0,254.0,162.0,,236.0,55.0,227.0,236.0,149.0,25.0,68.0,,,,,0.419,,0.102,,,,173.0,366.0,0.02,35497.0,0.15,13.0,0.82,92.0,,,0.94,1789.0,0.75,1429.0,0.003,0.03,109.0,0.85,325.0,18.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.5,349.0,684.4874,,,,,14.5,916.0,,,,,0.9,327.0,010019,HELEN KELLER HOSPITAL,AL,35660,COLBERT
